Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
35101;7;2024-02-01T22:31:55.43Z;in Dev;Discovery;5,127314814814815e-06
35101;9;2024-02-01T22:32:44.33Z;Discovery;Backlog;0,0005659722222222222
35129;5;2024-02-01T22:32:46.717Z;Backlog;Discovery;22,88475690972222
35129;6;2024-02-01T22:32:47.043Z;Discovery;Backlog;3,7731481481481483e-06
35315;4;2024-02-01T22:34:15.653Z;Backlog;Discovery;0,0004955208333333334
35315;6;2024-02-01T22:34:17.85Z;Discovery;in Dev;2,5428240740740742e-05
33760;17;2024-02-01T11:39:07.19Z;Development;Wait Deploy (Integ);13,73677994212963
33760;22;2024-02-02T11:46:36.69Z;Wait Deploy (Integ);To Test (Integ);1,0052025462962964
33760;23;2024-02-02T11:47:03.767Z;To Test (Integ);Test (Integ);0,00031339120370370375
35649;34;2024-02-01T18:00:52.557Z;Doing;To Test;1,1464905902777778
35649;35;2024-02-01T18:00:53.38Z;To Test;Doing;9,525462962962962e-06
35649;37;2024-02-02T12:01:07.737Z;Doing;To Test;0,7501661689814815
35732;16;2024-02-02T12:01:45.643Z;Waiting Refinement;Refinement;8,740986111111111
4939;19;2024-02-02T12:01:49.253Z;Doing;To Test;1,784784212962963
34132;4;2024-02-02T12:12:33.487Z;Backlog;Development;0,00297962962962963
36552;31;2024-02-02T12:29:43.917Z;Doing;Test;8,805531793981482
36552;32;2024-02-02T12:32:48.92Z;Test;Closed;0,0021412384259259258
115434;34;2024-02-01T12:50:11.99Z;TEST;DONE;3,0652626157407408
113707;9;2024-02-02T11:34:48.27Z;BACKLOG;IN PROGRESS;35,924499733796296
